protein2	protein1	combined_score	GENENAME1	logFC1	P.Value1	adj.P.Val1	Direction1	GENENAME2	logFC2	P.Value2	adj.P.Val2	Direction2
ENSECAP00000024163	ENSECAP00000051752	868	COL6A3	-0.582412554036747	0.0104381781968235	0.999395100558938	down	COL6A1	-0.54476236095619	0.027859895521294	0.999395100558938	down
ENSECAP00000025749	ENSECAP00000045738	926	ARHGEF12	-1.07463389670884	0.0452200272342358	0.999395100558938	down	RRAS	-1.30375442706467	0.0437553415660637	0.999395100558938	down
ENSECAP00000045738	ENSECAP00000025749	926	RRAS	-1.30375442706467	0.0437553415660637	0.999395100558938	down	ARHGEF12	-1.07463389670884	0.0452200272342358	0.999395100558938	down
ENSECAP00000051752	ENSECAP00000024163	868	COL6A1	-0.54476236095619	0.027859895521294	0.999395100558938	down	COL6A3	-0.582412554036747	0.0104381781968235	0.999395100558938	down
